FIELD #,FIELD NAME,TYPE,TABLE,MAX LENGTH,DECIMAL,FIELD DEFINITION
46,COMPOSITE PROPERTY LINKAGE KEY,AlphaNumeric,,53,,"Unique property key, which can be used to link to other files associated with property (used in Legacy Product).   This is a fixed-width field, with the APN component padded with blanks out to 45 characters within the composite key."
47,FIPS COUNTY CODE,AlphaNumeric,,5,,The current 5-digit Federal Information Processing Series codes used nationally that uniquely defines every county or county equivalent.
48,TAX ACCOUNT NUMBER,AlphaNumeric,,60,,"The county or source number used primarily for billing. Note: this number is typically not unique to a parcel, but rather to a tax bill (multiple parcels can be combined on 1 bill)."
49,ONLINE FORMATTED PARCEL ID,AlphaNumeric,,60,,APN that would link to CoreLogic online products.
PARCEL ESSENTIALS LOCATION v3,,,,,,
50,CENSUS ID,AlphaNumeric,,10,,"Comprised of Census Tract, Census Block Group, Census Block, and Census Block Suffix. These numbers are established by the US Department of Commerce (Bureau Of The Census)."
51,RANGE,AlphaNumeric,,3,,"The ""range"" portion of geographical coordinates based on local surveys. Ranges typically run east or west of pre-determined ""meridian"" in six mile intervals."
52,TOWNSHIP,AlphaNumeric,,3,,"The ""township"" portion of geographical coordinates based on local surveys. Townships typically run north or south of pre-determined ""meridian"" in six mile intervals."
53,SECTION,AlphaNumeric,,3,,"The ""section"" portion of geographical coordinates based on local surveys. Sections are 1 square mile and there are 36 sections within the intersection of a Range / Township."
54,QUARTER SECTION,AlphaNumeric,,3,,"A section that has been divided into four ""sub"" sections (e.g., NE, NW, SE, SW)."
PARCEL ESSENTIALS PROPERTY v3,,,,,,
55,LAND USE CODE,AlphaNumeric,LUSE,10,,A CoreLogic established Land Use code converted from various county Land Use codes to aid in search and extract functions.
56,ZONING CODE,AlphaNumeric,,15,,The data contained in this field is based upon County and/or Local established Zoning Codes and is not converted by CoreLogic.
57,PROPERTY INDICATOR CODE,AlphaNumeric,PRIND,3,,"A CoreLogic general code used to easily recognize specific property types (e.g., Single Family Residence, Condominium, Commercial)."
58,MANUFACTURED HOME INDICATOR,AlphaNumeric,,1,,"This field is populated with a ""Y"" if a Manufactured Home is present on the parcel."
59,NUMBER OF BUILDINGS,Numeric,,3,,Total number of buildings on the parcel.
PARCEL ESSENTIALS PROPERTY (PREMIUM) v2,,,,,,
60,LOCATION INFLUENCE CODE,AlphaNumeric,LOCIN,3,,"Positive or negative aspects associated with the location of the parcel (e.g., Waterfront, Flood Plain, Airport)."
61,VIEW CODE,AlphaNumeric,VIEW,3,,"View from building (e.g., Gulf, Mountains, Pool)."
PARCEL ESSENTIALS UTILITIES V2,,,,,,
62,ELECTRICITY/WIRING TYPE CODE,AlphaNumeric,ELEC,3,,"Type of electricity and/or type of wiring within the building (e.g., Average Wiring, Underground Wired, Private Source)."
63,FUEL TYPE CODE,AlphaNumeric,FUEL,3,,"Type of fuel used for heating of water and building (e.g., Solar, Gas, Oil)."
64,SEWER TYPE CODE,AlphaNumeric,SEWER,3,,"Type of sewer system on the parcel (e.g., Public, Septic, Commercial)."
65,WATER TYPE CODE,AlphaNumeric,WATER,3,,"Type of water service on the parcel (e.g., Public, Well, Cistern)."
PARCEL ESSENTIALS PROPERTY LEGAL V2,,,,,,
66,LEGAL BLOCK NUMBER,AlphaNumeric,,5,,"Identifies the county block number where the parcel is located. Part of a subdivision or tract legal description. Subdivisions are often broken down into blocks, which are then broken down into lots."
67,LEGAL LOT NUMBER,AlphaNumeric,,5,,"Subdivision or County Map Lot Number. Part of a subdivision or tract legal description. Subdivisions are often broken down into blocks, which are then broken down into lots."
68,SUBDIVISION TRACT NUMBER,AlphaNumeric,,10,,The unique number assigned to a specific subdivision by the county. Often this is used in lieu of an actual subdivision name.
69,SUBDIVISION PLAT BOOK,AlphaNumeric,,10,,"The first component of a recording system used by some counties to catalog subdivision / condo plans (e.g., Book 123 Page 55A)."
70,SUBDIVISION PLAT PAGE,AlphaNumeric,,10,,"The second component of a recording system used by some counties to catalog subdivision / condo plans (e.g., Book 123 Page 55A)."
71,SUBDIVISION NAME,AlphaNumeric,,60,,"The name of the Subdivision or Condominium where the parcel is located (e.g., Highland Mills Estates, Crystal Towers Condo)."
PARCEL ESSENTIALS LEGAL DESCRIPTION ,,,,,,
72,LEGAL DESCRIPTION,AlphaNumeric,,750,,"County or local jurisdiction legal property descriptions. This description provides additional information regarding the property. It primarily delineates the exact boundaries of the property and may include other values like mineral rights, description of the layout of the property, etc."
73,LEGAL1,AlphaNumeric,,250,,"County or local jurisdiction legal property descriptions. This description provides additional information regarding the property. It primarily delineates the exact boundaries of the property and may include other values like mineral rights, description of the layout of the property, etc."
74,LEGAL2,AlphaNumeric,,250,,"County or local jurisdiction legal property descriptions. This description provides additional information regarding the property. It primarily delineates the exact boundaries of the property and may include other values like mineral rights, description of the layout of the property, etc."
75,LEGAL3,AlphaNumeric,,250,,"County or local jurisdiction legal property descriptions. This description provides additional information regarding the property. It primarily delineates the exact boundaries of the property and may include other values like mineral rights, description of the layout of the property, etc."
PARCEL ESSENTIALS TAX V3,,,,,,
76,CALCULATED TOTAL VALUE,Numeric,,11,,"The ""TOTAL"" (i.e., Land + Improvement) Value closest to current market value used for assessment by county or local taxing authorities."
77,CALCULATED LAND VALUE,Numeric,,11,,"The ""LAND"" Value closest to current market value used for assessment by county or local taxing authorities."
78,CALCULATED IMPROVEMENT VALUE,Numeric,,11,,"The ""IMPROVEMENT"" Value closest to current market value used for assessment by county or local taxing authorities."
79,CALCULATED TOTAL VALUE SOURCE CODE,AlphaNumeric,,1,,"The code appearing in this indicator field reflects the type of values used to seed the TOTAL VALUE CALCULATED field (i.e., A = Assessed, M = Market, P = Appraised, T = Transitional)."
80,CALCULATED TOTAL LAND VALUE SOURCE CODE,AlphaNumeric,,1,,"The code appearing in this indicator field reflects the type of values used to seed the LAND VALUE CALCULATED field (i.e., A = Assessed, M = Market, P = Appraised, T = Transitional)."
81,ASSESSED TOTAL VALUE,Numeric,,11,,The Total Assessed Value of the Parcel's Land & Improvement values as provided by the county or local taxing/assessment authority.
82,ASSESSED LAND VALUE,Numeric,,11,,The Assessed Land Value as provided by the county or local taxing/assessment authority.
83,ASSESSED IMPROVEMENT VALUE,Numeric,,11,,The Assessed Improvement Value as provided by the county or local taxing/assessment authority.
84,MARKET TOTAL VALUE,Numeric,,11,,The Total Market Value of the Parcel's Land & Improvement values as provided by the county or local taxing/assessment authority.
85,MARKET LAND VALUE,Numeric,,11,,The Market Land Value as provided by the county or local taxing/assessment authority.
86,MARKET IMPROVEMENT VALUE,Numeric,,11,,The Market Improvement Value as provided by the county or local taxing/assessment authority.
87,APPRAISED TOTAL VALUE,Numeric,,11,,The Total Appraised Value of the Parcel's Land & Improvement as provided by the county or local taxing/assessment authority.
88,APPRAISED LAND VALUE,Numeric,,11,,The Appraised Land Value as provided by the county or local taxing/assessment authority.
89,APPRAISED IMPROVEMENT VALUE,Numeric,,11,,The Appraised Improvement Value as provided by the county or local taxing/assessment authority.
